Where do you live (or spend most of your time)?,Which language(s) do you feel most comfortable speaking?,Do you identify as a member of the Blockstack community?,How long have you been a member of the community?,Which roles in the Blockstack community do you most strongly identify with?,What's your degree of involvement in *the Blockstack community?*,"What's your degree of involvement in *the blockchain/cryptocurrency space, in general?*",Do you hold STX tokens?,Which other cryptographic tokens do you hold?,What other blockchain/crypto communities do you consider yourself a member of?,How many [Blockstack dapps](https://app.co/blockstack) have you used?,What has been your involvement with [Blockstack dapps](https://app.co/blockstack)?,How have you/your team funded your Dapp project to date?,Have you attended (or watched recordings of) any of these community events? Which ones?,What is/are your primary resources for learning about the Blockstack platform and community?,What are the strengths of the Blockstack community and project? What are its weaknesses?,"In your opinion, what should be the *mission/vision* of the Blockstack project and community?",How well do you understand this mission/vision?,How aligned are you with this mission/vision?,"In your opinion, what are the *shared values* of the Blockstack project and community?",How aligned are you with these values?,What aspects of Blockstack governance have you previously participated in?,Are you interested in participating in governance?,What aspects of governance would you like to participate in?,Do you feel there have been any obstacles that have prevented you from participating in governance?,What limits you from participating in governance today?,How much do you trust the core developers to make technical decisions in the best interest of the protocol?,Who should be in charge of Stacks governance?,Do you support [on chain governance?](https://messari.io/article/on-chain-governance),What challenges (if any) do you see with the _existing governance_ of the Blockstack project and platform?,Do you believe STX tokenholders should participate in Stacks governance?,In what capacity do you believe STX tokenholders should participate in governance?,Which other groups should participate in governance? Why? In what capacity?,Are there any groups that you feel should be _excluded_ from participation in governance? Why?,"In your view, what is the mission of Blockstack PBC?",How well do you understand the mission of Blockstack PBC?,How much do you care about the mission of Blockstack PBC?,Do you trust Blockstack PBC to make decisions in the best interest of the protocol/community?,"Generally, how do you feel about the output or productivity of Blockstack PBC?",Do you feel that Blockstack PBC’s decision making process is clear and transparent?,What should be the future role of Blockstack PBC in governance?,"Do you feel it's a good idea to create a new, independent entity responsible for governance?",What form do you feel this entity should take?,What role should this independent entity play in platform/community governance?,How should it be funded?,What role should the community play in the governance of the entity? Any other thoughts?,What else should we have asked?,Any final thoughts?,In what capacity do you believe STX tokenholders should participate in governance?,Which language(s) do you feel most comfortable speaking?,What is/are your primary resources for learning about the Blockstack platform and community?,What form do you feel this entity should take?,Token
Chile,,I'm not sure,1,"User, Community member",New/still learning,Hobbyist,No,"Bitcoin (BTC), Ether (ETH), Ripple (XRP), DAI",Ethereum,3-5,User,,Webinars,,"Sincerely, I don't know",,3,3,I don't know,3,Haven't participated,Not sure/Don't really understand governance,,Not sure,"I don't have enough time, I don't understand Blockstack governance well enough, I don't feel informed enough about Blockstack",3,STX tokenholders (plutocracy),Yes,Avoid centralization,,,None,No,I don't know,0,3,3,3,3,"Education, Grant funding, App Mining, Lobbying, Marketing/awareness, Legal work",Maybe,,"Manage token treasury, Legal work","Donations/charity, Optional fees attached to payments/transactions, Endowment from PBC",A central role,,,Not sure/don't care,Spanish,Blockstack Blog,"Co-operative, Non-profit foundation/association",spa9dgvx1z1yu4agnvspa9dginz1z3lm
United States,,Yes!,4,Community member,Full-time (paid work),Full-time (paid work),Yes,Bitcoin (BTC),"Bitcoin, Tezos, Cosmos, Zcash, Stellar",,User,,"Working group calls, STX holder calls, Blockstack summit, Local meetups, Webinars, Hackathons, Workshops, Developer updates",,I appreciate this open-minded community and how driven it is compared to other projects. I enjoy meeting fellow members at the summits as well.,Blockstack apps give users direct ownership of their internet assets and protect user privacy.,5,5,Protecting user privacy,5,"Joined a working group call, Participated in community discussion","Yes, all aspects of governance","Working group calls, Review SIPs",No,,5,"STX tokenholders (plutocracy), Everyone (democracy)",I'm not informed enough about it,Not certain,,,Not certain,Not certain,Blockstack apps give users direct ownership of their internet assets and protect user privacy.,5,5,5,5,4,"Core development, Grant funding, Education, Marketing/awareness, Lobbying",Not sure/Don't care,,"Legal work, Grant funding, Events, Education, Lobbying",Ongoing “tax” or “ecosystem fund” from block reward,n/a,it was great,"none, thank you",Not sure/don't care,English,"Newsletters, Meetups, Blockstack Forum, Calls or events, Discord/Telegram/WeChat, Podcasts, Blockstack Blog",Not sure/Don't care,szgyakp9c2wvzbplskajjszgyakp9kgm
United States,,Yes!,3,"Investor, Developer, Community member",Hobbyist,Hobbyist,Yes,No others,None,2,User,,"Local meetups, Webinars, Hackathons, Developer updates, STX holder calls",,"Creating a new internet is a marathon, and we haven't reached a point in the race where anyone besides us cares.","To fulfill the promise of the internet would be a good start.  Web 3.0 should be a tool of conviviality: open, secure, private.",6,6,We fight for the users!,6,Haven't participated,"Yes, all aspects of governance","Working group calls, Forum/chat",Yes,I don't have enough time,4,,Not sure/Don't care,I haven't been following it closely enough to have a useful opinion.,,,I think end users of Blockstack DApps should be incentivised to purchase STX.  It would definitely push towards further democratization of the ecosystem that we hope will benefit the general public,"No one should be excluded, but perhaps there is undue influence among some early/large investors that needs a check.  I have seen no evidence of this, but it's certainly derailed other worthwhile projects.","To fulfill the promise of the internet, in that it is meant to be free, open, private, and secure.",4,6,5,5,5,"Manage token treasury, Events, App Mining, Grant funding, Lobbying, Core development, Marketing/awareness, Legal work, Education",Yes,,"Legal work, Manage token treasury, Events, Education","Endowment from PBC, Optional fees attached to payments/transactions, Ongoing “tax” or “ecosystem fund” from block reward","Various boards, working groups, t-groups, etc. populated by those that have passion for the project","It was pretty thorough, but keep them coming",Take care!,Not sure/don't care,,"Technical articles, Blockstack Forum, Blockstack Blog, Meetups, Discord/Telegram/WeChat, Newsletters","Non-profit foundation/association, Corporation (LLC/C Corp/PBC), Co-operative",64uvj2t4hnaynajn3js64uvj2e7q8rm1
Canada,,Yes!,2,"App miner (former), Community member, Investor, Developer, User, App Founder",Hobbyist,Full-time (paid work),Yes,"Bitcoin (BTC), Ether (ETH)",Bitcoin,3-5,"Builder/Paid contributor, Open source contributor, User, Founder",Bootstrap (self-funded),"Working group calls, Developer updates",,,Decentralising the web,2,5,,,Participated in community discussion,"Yes, all aspects of governance","Working group calls, Forum/chat",Yes,"I don't have enough time, I don't work for Blockstack",3,STX tokenholders (plutocracy),Not sure/Don't care,Gaming the system (app mining),,,,,,,,,,,"Grant funding, Education, Legal work",Maybe,,"Manage token treasury, Grant funding, App Mining","Endowment from PBC, Donations/charity",,,,Not sure/don't care,English,"GitHub, other code/developer resources, Discord/Telegram/WeChat",Not sure/Don't care,got7g8monchrgt2ejjtt2egot7g8ysma
United States,,Yes!,1,"Community member, Developer, User, Working group member",New/still learning,New/still learning,No,No others,None,2,User,,Working group calls,,,Working together as a whole (which is what it is to me already),5,6,Creating Dapps that solves real humane issues by providing information that can benefit humanity in such a positive way,6,Joined a working group call,Not sure/Don't really understand governance,"Working group calls, Review SIPs",No,,4,Everyone (democracy),I'm not informed enough about it,,,,,,"Overseers, making sure that all of the groups are working together and making their presence known as a helper and someone the community can call on for help or guidance",3,6,6,5,5,"Core development, Education",Maybe,,"Education, Marketing/awareness, Events",Ongoing “tax” or “ecosystem fund” from block reward,The community should play a great role,,I think especially during these trying the times the community has pulled together and have been able to make newcomers feel welcomed. I truly appreciate that!,Not sure/don't care,English,"Technical articles, GitHub, other code/developer resources, Blockstack Blog",Co-operative,m298tzlja4l0nrkb1exjm298t5infst6
India,,Yes!,2,Investor,Full-time (paid work),Full-time (paid work),Yes,Bitcoin (BTC),"Bitcoin, Zcash",1,User,,Working group calls,,Project is too good. But too many people have the access to token and they are selling the tokens continuously. So Blockstack has no new buyers in the market but only people who sell. If people doesn't know about this good project and no demand in the market to buy the tokens then the work would go futile. So investors are feeling that it's good to watch the development of project but never buy STX tokens as it's a sure shot way to lose money.,Create a good marketing plan. Make sure everyone in the cryptocurrency space know about Blockstack just like how they know about Ethereum.,1,2,Only developers are feeling good about the project and not any investors,2,Participated in community discussion,"Yes, all aspects of governance","Working group calls, Forum/chat, Author SIPs, Review SIPs",No,,5,STX tokenholders (plutocracy),I'm not informed enough about it,Nothing,,,Only STX holders,Bitcoin maximalists,Building decentralized web on top layer of Bitcoin (Web 3.0),6,6,3,5,1,"Marketing/awareness, Events, Core development, Education, Lobbying",No,,Marketing/awareness,Donations/charity,No,You should have asked how to improve the community reach worldwide or how to improve marketing. This form is only in terms of developer not at all in the perspective of investors,Investors are in blood with the money they invested thinking it would be a top notch project. But volume in the exchange won't even cross 10 Bitcoins says alot about your marketing or out reach to people or creating awareness to people on questions of what is Blockstack and why Blockstack. You only focus on d development and never interms of investors perspective. This form itself says alot about that you don't care for investors who invested millions of dollars to lose money. If I have to lose money I have better ways to lose instead of investing in STX. Own up like professionals and do something about it,"Non-binding voting (i.e., signaling)",Kannada,"Blockstack Blog, Podcasts, Discord/Telegram/WeChat, Technical articles",No legal entity,7klsg1mfnpq1tjq7awb4oz19qo50z86a
Uganda,,Yes!,2,"Blockstack Evangelist, Community member, User, Investor",Evangelist ,Part-time (paid work),Yes,"Ether (ETH), Bitcoin (BTC)",chainlink,3-5,User,,Local meetups,,Full decentralisation and ownership our data and digital rights,full control and decentralisation of users over the internet,6,5,,,Participated in community discussion,"Yes, all aspects of governance",Forum/chat,No,,5,STX tokenholders (plutocracy),I'm not informed enough about it,,,,,,decentralised computing era,6,6,6,5,6,"Education, Core development, App Mining, Legal work",Not sure/Don't care,,Core development,Ongoing “tax” or “ecosystem fund” from block reward,,,I DO APPRECIATE THE EFFORT ANS SERVICE DELIVERY,Not sure/don't care,English,"Blockstack Blog, Discord/Telegram/WeChat, Blockstack Forum, Technical articles",Corporation (LLC/C Corp/PBC),x4h5hsysszfhzh9j0ix4h5q2njn6kk25
United States,,Yes!,1,"Community member, Developer, User",New/still learning,New/still learning,No,No others,None,1,None,,Community Meeting,,"I love the community interactions! Everyone is hands on and they really are passionate about their crafts and I enjoy reading more about the projects in the community and want to eventually help. I really don't see a weakness in the community more with myself because I am new and I am still learning about the technology so I am not as vocal as the others and very intimidated to ask questions because I feel like I should know the answer to these questions but I don't. It's more personal than communal. So the weakness is within myself and not the community. So far, I am learning a lot from the community and feel like soon I will understand more about the Blockstack technology and help out more.",This is a challenge because I am still new but I think educating and sharing the wealth of knowledge to others that are new to this technology and in this community which I think is that Blockstack is already doing personally.,5,4,I am still learning so I am not sure how to answer this question,3,Haven't participated,Not sure/Don't really understand governance,Review SIPs,Not sure,"I don't know where/how to, but I would",4,Everyone (democracy),I'm not informed enough about it,I am not sure on what the governance is and what is detailed so I am going to learn more about this,,,,,,0,6,5,5,5,Education,Not sure/Don't care,,"Education, Marketing/awareness, Core development","Donations/charity, Optional fees attached to payments/transactions, Ongoing “tax” or “ecosystem fund” from block reward",,,"It is not really what should have been asked but for someone like myself that is new, Not sure/Don't care, should be separated. Most of my answers were this and I don't want the community to feel like I don't care because I really do. I am not sure because I am new to the community so I am not sure how to answer the question and I need more insight or education on the topic asked.",Not sure/don't care,English,"Newsletters, Technical articles, Discord/Telegram/WeChat, Blockstack Blog",Not sure/Don't care,z22kt5zfy7m4jfa7d6lhz22ktt7rf9wv
Singapore,,Yes!,2,User,Hobbyist,Full-time (paid work),No,"Bitcoin (BTC), Ether (ETH)",Ethereum,,"User, Founder",Angel investment,"Blockstack summit, Webinars",,,Still the one - get more people to use apps that can't be evil.,5,6,Focus on the people's data privacy.,6,Haven't participated,"Yes, all aspects of governance","Forum/chat, Review SIPs",Not sure,"I don't know where/how to, but I would",5,The core devs (technocracy),Yes,Not sure.,,,"Again, core dev + token holders could be a better way to participate in governance.",N/A,,4,5,6,4,5,"Marketing/awareness, Education, Core development, Manage token treasury, Legal work, Grant funding",Maybe,,"Education, Grant funding, Manage token treasury",Ongoing “tax” or “ecosystem fund” from block reward,,,,"Binding voting (i.e., on-chain governance)",English,"Blockstack Forum, Discord/Telegram/WeChat, Calls or events",Non-profit foundation/association,j2w6vxzsj2w6pu7ri26jbf6w36v5oxbt
Chile,,I'm not sure,1,"Product/Product Manager, App Founder, Developer, App miner (former), Working group member",New/still learning,Part-time (paid work),No,No others,None,None yet,None,,"Local meetups, Webinars",,,salvaguardar la información personal y tener la libertad para no ser objeto de seguimiento,4,6,"libertad, seguridad, comunidad",6,Haven't participated,"Yes, all aspects of governance","Review SIPs, Working group calls",Not sure,"I don't know where/how to, but I would",3,Everyone (democracy),I'm not informed enough about it,que puedan no querer entregar capacidad de decisión,,,"servicios de impuestos, para asegurar la validez de las transacciones y evitar problemas legales y del sistema",nope,No lo sé,0,4,2,3,4,"Education, Lobbying, Marketing/awareness",Yes,,"Education, Events, Grant funding, Marketing/awareness, App Mining, Lobbying, Core development, Manage token treasury, Legal work",Donations/charity,rol de comisionado,"nada, es muy completa",gracias por la oportunidad,"Non-binding voting (i.e., signaling)",Spanish,Calls or events,Non-profit foundation/association,v2cur8vnbhswt1taxv2cur8nq7vyrh3e
United States,,Yes!,1,"Community member, User, Investor",Hobbyist,Hobbyist,Yes,"Bitcoin (BTC), Ether (ETH), Ripple (XRP), Litecoin (LTC), EOS, Tezos (XTZ)","Bitcoin, Cardano",2,User,,"Developer updates, STX holder calls",,,"Create an ecosystem which benefits our world in terms of efficiency, safety, and valuing our fellow citizens.",5,6,,,Haven't participated,"Yes, all aspects of governance","Working group calls, Forum/chat, Review SIPs",No,,3,STX tokenholders (plutocracy),Yes,Receiving input from all areas of the community/ecosystem,,,,,develop the ecosystem,1,5,3,4,4,"Grant funding, Marketing/awareness, Legal work, Events, Education, Lobbying",Yes,,"Manage token treasury, Grant funding","Ongoing “tax” or “ecosystem fund” from block reward, Endowment from PBC",,,,"Binding voting (i.e., on-chain governance)",English,"GitHub, other code/developer resources, Newsletters, Blockstack Blog, Blockstack Forum, Calls or events",Non-profit foundation/association,ccd1z3tf1wc2u7x4hccd1zefezfuqf4w
Southeast Asia,,Yes!,1,Product/Product Manager,,,,Don't own any,Bitcoin,1,Builder/Paid contributor,,Working group calls,"Technical articles, Blockstack Blog","Friendly SDK and documents to build Dapps. 
Weaknesses: I feel like Blockstack team doesn't commit the the deadline of the roadmap sometimes.",,3,5,The team members are friendly and easy to reach when problems happen.,4,Haven't participated,,Forum/chat,,"I don't know where/how to, but I would, It's hard to keep track of all discusses",,,,,,,,,,,,,,,,,,,,,,,,,,,agqfkb0kpayw2z9seuagqfkb52b87x3r
Netherlands,,Yes!,4,"Investor, Community member, Stacker (prospective), User",Hobbyist,Part-time (paid work),Yes,"Bitcoin (BTC), Ether (ETH)",None,None yet,Investor,,"Working group calls, STX holder calls, Webinars",,"It's active, but would prefer more updates on the announcement channel",Create the biggest and most user friendly decentralised ecosystem,4,3,Can't be evil,3,Participated in community discussion,"Yes, political/economic governance only",Working group calls,Yes,"I don't have enough time, I don't know where/how to, but I would, I don't understand Blockstack governance well enough, I don't work for Blockstack",3,"STX tokenholders (plutocracy), Everyone (democracy), The core devs (technocracy), A few trusted people (oligarchy), One leader (autocracy)",Yes,"It's should be a joint effort. Not everyone can code, work at blockstack or will mine. Therefore it should be as many different parties who probably have all different interests",,,"Contributors, thought leaders, academics, politicians,",Whales. No one should have all the power,Can't be evil,4,4,4,5,4,"Events, Education, Manage token treasury, Lobbying, Grant funding, Core development, App Mining, Marketing/awareness, Legal work",Maybe,,"Education, Lobbying, Manage token treasury, Grant funding, Core development, Marketing/awareness, Events, App Mining, Legal work",Maybe all our you choose the best thing,"Include them, but only listen of you think it makes sense and the thought is widely covered",All good,Go for it!,"Non-binding voting (i.e., signaling)",Dutch,"Podcasts, Technical articles, Blockstack Blog",Not sure/Don't care,y56febomsowao1lilry56wdg0kf5n5t8
United States,,Yes!,3,"App Founder, Investor, Designer, Developer, Stacker (prospective), Researcher, User, Community member",Part-time (unpaid work),Hobbyist,Yes,"Bitcoin (BTC), Ether (ETH), Tezos (XTZ), Cosmos (ATOM)",None,More than 10,"Open source contributor, Founder, User, Builder/Paid contributor",Bootstrap (self-funded),"Blockstack summit, Local meetups, Developer updates, STX holder calls, Hackathons",,"It doesn't feel like it's a mission driven community because of the various stages Blockstack has gone through over the years. Maybe it is a little better now (with PoX underway), but between evolving protocol decisions and the ups and downs of app mining, it's hard to know where we actually sit as a community with a shared mission and a vision.

There are some great folks in the community though, ones that have managed to hold onto a high degree of idealism and purpose. 

It's still quite incongruous as a whole, though (example opinions: ""these apps are like the early days of the internet and will take time"" / ""all these apps suck because people just wanted app mining bonuses"" /  ""when moon?"" / ""we build for the future and don't care about the price"" / ""PBC will build it for us"" / ""we should build it"" / ""we need higher quality founders to attract users"" / ""we need better tools before we can quit our day jobs to build xyz"")",To become the leading decentralized app platform of Bitcoin.,3,6,"Privacy, Security, Bitcoin...y",6,"Commented on a SIP, App Mining, Participated in community discussion","Yes, all aspects of governance","Forum/chat, Review SIPs",Yes,"I don't have enough time, I don't work for Blockstack",3,"STX tokenholders (plutocracy), The core devs (technocracy)",I'm not informed enough about it,PBC seems too powerful still. Like the community isn't sure about whether PBC should do [insert whatever here] or if the community should. Rolling out future governance is going to need some really clear transitionary communication so everyone is on the same page when PBC steps back.,,,Not sure,"Everyone should be able get involved in one way or another, but it would be cool to be able to signal the types of groups that are participating for the sake of transparency (e.g. VCs, developers--STX holder, developers--non STX holder, users--STX holder, users--non STX holder...)","To bootstrap Blockstack, then get out of the way while getting paid for its success (or lack thereof).",5,6,2,3,2,"Events, Legal work, Grant funding, Marketing/awareness, Lobbying, Education",Yes,,"Core development, App Mining, Manage token treasury, Grant funding, Marketing/awareness, Education, Events","Endowment from PBC, Ongoing “tax” or “ecosystem fund” from block reward, Donations/charity",,,when moon?,Thinking between B and C...,English,"Newsletters, GitHub, other code/developer resources, Blockstack Forum, Meetups, Discord/Telegram/WeChat",Not sure/Don't care,0v8wh168go8t7yp0v8w5xtk3msrs4do9
United States,,Yes!,,"User, Stacker (prospective), Community leader/evangelist, Community member, Working group member, Developer, Evangelist/Advocate",Hobbyist (unpaid),None,No,Don't own any,None,6-10,"User, Open source contributor",,"Working group calls, Blockstack summit",,"Strength: privacy and digital rights focus, collaborative. Weakness: Needs direction",To create a user-owned Internet,5,6,"Privacy, Security, Digital Rights, Anti-Censorship, Data Ownership, New Possibilities",6,"Joined a working group call, Participated in community discussion, Updated github repo","Yes, all aspects of governance","Working group calls, Forum/chat, Review SIPs",No,,4,"A few trusted people (oligarchy), Everyone (democracy), Two keys for the nuke",No,"It is still in its infancy, lots to learn.",,,"Everyone should be able to have input, but financial stake in an ecosystem means something, too. Has to have the right balance.",Not unless it creates an unfair advantage.,To create a user-owned Internet,6,5,5,4,3,"Grant funding, App Mining, Education, Core development, Marketing/awareness, Legal work, One of theee branches somehow, divided responsibility.",Yes,Non-profit foundation/association,"Grant funding, Events, Lobbying, Core development, Manage token treasury, Education","Endowment from PBC, Ongoing “tax” or “ecosystem fund” from block reward, Donations/charity, Optional fees attached to payments/transactions, Voted and decided by community.",Checks and balances. Input on changes. Community education.,Very comprehensive!,Will post a few feedback items in Discord,"Non-binding voting (i.e., signaling)",English,"Blockstack Blog, Calls or events, Discord/Slack/Telegram/WeChat, Code/developer resources, Technical articles, Blockstack Forum",,qgu4vnm5wr8k66mkc1atqgu4vbbnb0ms
United States,,Yes!,3,"Evangelist/Advocate, User, Working group member, Researcher, Community member",Hobbyist (unpaid),Hobbyist (unpaid),No,Don't own any,None,More than 10,"User, Open source contributor",,"Local meetups, Blockstack summit, Working group calls",,the strength of BS is integrity in the contexts of actually shipping genius code & authentic approaches to legal compliance. The weakness of BS is the same as all chains ..finding governance structures that won't compromise the purpose of the infrastructure in the long run..decentralization; power to the users.,Decentralization; power to users not transnational corporations.,5,6,opensource;decentralization; privacy;power to users,6,"Participated in community discussion, Joined a working group call","Yes, all aspects of governance","Working group calls, Forum/chat, Review SIPs, Author SIPs",No,,5,Everyone; consensus decision making,I'm not informed enough about it,We are early on a path to decentralization; hard to id challenges so far.,,,"An independent foundation within or alongside the foundation; that has a dialogue with traditional indigenous council of the western hemisphere. 

Because this is the legal & proper relationship to the hemisphere there is jurisprudence leverage that cannot be replicated by any other known means.

This dialogue comes with a built in constitution & consensus decision making protocols that sustained ecological innovation of the hemisphere(w/out destruction) for countless millennia. 

Access to this dialogue is imperative for learning proper structures necessary to ensure social & environmental protections i.g. protocols of decentralized power to go along with BS's protocols for decentralized infrastructure. And again, cannot be replicated by any other known means.

Learning these structures is an imperative responsibility of the BS community as a fundamental part of the mission & values. IoTs in production, manufacturing and distribution falling within the scope of internet; while also being very relevant to the necessary protections cited above. Blockchain based trade as the next iteration of world trade also highlights this responsibility.

This second autonomous entity can offer an additional avenue for community members interested in governance that offers 100% consensus decision making (no majority vote); protections for women(matrilineal council); diversity;  the environment etc. included in indigenous governance protocols.

This additional entity can ensure said protections along said avenue for foundation structure innovations through unique jurisprudence advantages.",no,Providing a secure decentralized internet that brings power to users.,6,6,5,5,5,"Core development, Marketing/awareness, Legal work, Events, Lobbying, Grant funding",Maybe,Non-profit foundation/association,"Marketing/awareness, Legal work, Grant funding, App Mining, Education, Manage token treasury, Core development, Events","Donations/charity, Endowment from PBC, Ongoing “tax” or “ecosystem fund” from block reward",All voices should be heard.,Looks good :),,all voices get heard & considered in consensus decision making,English,"Discord/Slack/Telegram/WeChat, Meetups, Blockstack Forum, Calls or events, Code/developer resources",,iuplcy340b2d7c4iuplcv0at84pei95w
Chile,,Yes!,3,"Working group member, Investor, User",New/still learning,New/still learning,No,Ether (ETH),godzillion,1,"User, Investor",,Local meetups,,Its main strength is the sense of mission,Build a new Internet where people have ownership of their own data.,4,4,Belong to the community,3,Haven't participated,Not sure/Don't really understand governance,Forum/chat,Yes,"I don't have enough time, I don't feel informed enough about Blockstack, I don't understand Blockstack governance well enough",5,"STX tokenholders (plutocracy), The core devs (technocracy)",Not sure/Don't care,I don't know,,,I don't know,Actual gatekeeper in Internet,I don't know,0,2,1,3,3,"Lobbying, Education, Grant funding, Events, Marketing/awareness",Yes,,"Legal work, Lobbying, Grant funding, Manage token treasury, Marketing/awareness, Events, Education","Endowment from PBC, Ongoing “tax” or “ecosystem fund” from block reward",The governance must be done with the mission on sight to serve the community,,,"Binding voting (i.e., on-chain governance)",Spanish,"Meetups, Blockstack Forum",Co-operative,y4aro55bw3ojziilc2y9cy4aro55boll
South Korea,,Yes!,2,"Blockstack Evangelist, User, Community member, Researcher, Investor, Community leader, Stacker (prospective)",Hobbyist,Full-time (paid work),Yes,"No others, Prefer not to answer","Bitcoin, Ethereum, EOS, Cosmos, Tezos",3-5,User,,"Blockstack summit, Developer updates, Local meetups",,"Weaknesses(Needs): Asia Community(South Korea), App Mining or Dev guides for Korean, etc",User-friendly & decentralized dapp for all over the world,5,6,"dapp's mass-adoption, interaction with users, freedom, responsibility",5,"App Mining, Participated in community discussion","Yes, political/economic governance only",Forum/chat,Yes,I'm not good at speaking English 😢,5,"STX tokenholders (plutocracy), The core devs (technocracy)",Yes,Staking(stacking) cannot be a complete solution,,,Local Leader(?),-,Growth project,4,2,3,3,3,"Education, Events, Lobbying, Grant funding, Core development, Marketing/awareness, Legal work, Manage token treasury, App Mining",Maybe,,"Legal work, Education, Lobbying",Donations/charity,"It may have a good effect on the operational side, but I think there is a risk of centralization",-,I wish I could secure ambassadors in more diverse Asian countries,"Non-binding voting (i.e., signaling)",Korean,Meetups,Non-profit foundation/association,n4lnjkn3uuwy9cr95zdsn4lns0yse9ax
Nigeria,,Yes!,2,"Stacker (prospective), Developer, App Founder",Full-time (paid work),Full-time (paid work),Yes,Bitcoin (BTC),Monero,6-10,"User, App Mining Reviewer",,"Working group calls, STX holder calls, Blockstack summit, Local meetups, Webinars, Hackathons, Workshops, Developer updates",,,Development of Blockchain,4,6,commitment,5,Participated in community discussion,"Yes, all aspects of governance","Forum/chat, Working group calls",No,,5,STX tokenholders (plutocracy),I'm not informed enough about it,Scaling,,,,No don't think so,,4,5,0,3,5,Core development,No,,,,,,,"Non-binding voting (i.e., signaling)",English,"Discord/Telegram/WeChat, Podcasts, GitHub, other code/developer resources, Blockstack Forum",Not sure/Don't care,si0gnjhw33c7c37isi0gnc419p0w5r6s
North America,,,,"Evangelist/Advocate, User, Developer",,,,"Don't own any, Ether (ETH)",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4rhjpr57trovghnc514rhjvs5fltbf93
Chile,,I'm not sure,1,User,Not involved,Not involved,No,"Bitcoin (BTC), Ether (ETH), Bitcoin Cash (BCH), Stellar",Bitcoin,None yet,User,,Workshops,,,,0,0,,0,Haven't participated,Not sure/Don't really understand governance,Forum/chat,Not sure,"I don't feel informed enough about Blockstack, I don't understand Blockstack governance well enough, I don't know where/how to, but I would",1,A few trusted people (oligarchy),I'm not informed enough about it,,,,,,,0,0,0,1,0,Marketing/awareness,Not sure/Don't care,, comptroller,"Optional fees attached to payments/transactions, Ongoing “tax” or “ecosystem fund” from block reward",,,,Not sure/don't care,,Technical articles,Not sure/Don't care,utrjdnmdnz1v1ed9h7utrjdutrty7m8t
Chile,,No!,,,New/still learning,New/still learning,No,Neo,Neo,None yet,None,,Local meetups,,,To create real projects with real social impact,3,5,,,Haven't participated,Not sure/Don't really understand governance,Forum/chat,Not sure,"I don't feel informed enough about Blockstack, I don't understand Blockstack governance well enough, I am not a developer, I don't work for Blockstack",3,"The core devs (technocracy), Everyone (democracy)",I'm not informed enough about it,,,,,,,,,,,,"Marketing/awareness, Lobbying, Education, Events, Grant funding, Legal work, Core development",Maybe,,"Lobbying, Education, Marketing/awareness, Events, Core development, Legal work","Donations/charity, Endowment from PBC, Optional fees attached to payments/transactions",,,,Not sure/don't care,Spanish,Meetups,Non-profit foundation/association,q2xa18gmtptsbi0b3xuq2xa18auqiogr
Russia,,Yes!,1,"Developer, Working group member, Community member, Researcher, User",New/still learning,New/still learning,Yes,No others,None,None yet,User,,Developer updates,,,"Убрать традиционный интернет в замен на новый веб 3. 
Как это будет происходить я не знаю. Может быть когда будет огромное количество приложений жизненно необходимых, блокстек выпустит свою операционную систему которая которая заполонить все устройства : телефоны , компьютеры , терминалы , домофоны  и прочее. 
Просто иметь выход через браузер - это мелко. Мне кажется миру нужны глобальные изменения.
Хотя скорее всего мое представление очень сильно оторвано от реальности",5,5,Не знаю,1,Haven't participated,"No, I don't want to participate in governance",,Not sure,I don't have enough time,5,The core devs (technocracy),I'm not informed enough about it,,,,,,,2,3,5,5,5,Core development,No,,,,,,,Should not participate,Russian,"Blockstack Blog, Technical articles",Not sure/Don't care,i5cbrtc650dypd4i5cbrk4nbvhnlbph5
Canada,,Yes!,2,"User, Blockstack Evangelist, Developer",Hobbyist,Hobbyist,No,Prefer not to answer,Bitcoin,3-5,User,,"Webinars, Developer updates",,"All strengths, no weaknesses","Decentralize everything. Decentralize the ""governance model"" and everything. Support new commers, build a better, safer, internet through decentralization",4,,Decentralization,6,Haven't participated,Not sure/Don't really understand governance,"Working group calls, Forum/chat, Author SIPs",No,,5,The core devs (technocracy),I'm not informed enough about it,,,,,,,0,6,,,,,Yes,,,"Who are they directly providing value for? Each action they take should provide value for someone. Need specifics, but that's who should pay","The community should be the governance. Setup the tech and the incentives so each member is rewarded for doing the right thing and discouraged from not doing so. Even the decision on what is ""the right thing"" can be decentralized",,Decentralize everything.,Not sure/don't care,English,"Podcasts, Technical articles",Decentralized and incentive based ,g5bm1ev7mfyy0khj9g5bm1evf89wfej5